Time,Flow
8.95,5.707813
8.96,5.45625
8.97,5.503125
8.98,5.15625
8.99,6.359375
9.0,5.409375
9.01,4.665625
9.02,3.203125
9.03,1.910938
9.04,-0.021875
9.05,-0.4859375
9.06,-1.420313
9.07,-2.034375
9.08,-2.690625
9.09,-3.459375
9.1,-4.4375
9.11,-4.784375
9.12,-5.365625
9.13,-4.154688
9.14,-1.159375
9.15,-0.2140625
9.16,1.11875
9.17,1.371875
9.18,1.254688
9.19,0.046875
9.2,0.24375
9.21,-0.7890625
9.22,-0.159375
9.23,0.0703125
9.24,0.7375
9.25,1.3875
9.26,1.276563
9.27,2.754688
9.28,4.470313
9.29,6.185938
9.3,7.059375
9.31,7.770313
9.32,8.4625
9.33,8.142188
9.34,9.815625
9.35,9.814063
9.36,9.376563
9.37,11.53438
9.38,11.50781
9.39,12.3625
9.4,13.22813
9.41,12.55938
9.42,14.10781
9.43,14.32813
9.44,12.80781
9.45,16.63594
9.46,16.7
9.47,16.48594
9.48,17.54688
9.49,16.25313
9.5,20.0
9.51,18.18281
9.52,17.02812
9.53,15.56563
9.54,17.80937
9.55,14.50625
9.56,14.73906
9.57,16.18594
9.58,13.25938
9.59,14.95625
9.6,14.89688
9.61,13.18125
9.62,12.77344
9.63,14.19531
9.64,13.85781
9.65,12.4875
9.66,11.68125
9.67,12.47813
9.68,11.09375
9.69,12.24375
9.7,11.98438
9.71,11.18906
9.72,11.96563
9.73,11.5625
9.74,12.05781
9.75,11.4375
9.76,9.935938
9.77,8.7375
9.78,10.24219
9.79,9.210938
9.8,10.91563
9.81,10.11094
9.82,9.898438
9.83,9.709375
9.84,9.420312
9.85,8.59375
9.86,9.003125
9.87,8.20625
9.88,7.404688
9.89,7.875
9.9,8.714063
9.91,9.260938
9.92,9.10625
9.93,9.242188
9.94,8.98125
9.95,8.032813
9.96,6.520313
9.97,6.782813
9.98,7.378125
9.99,7.379688
10.0,7.315625
10.01,7.582813
10.02,8.042188
10.03,8.470313
10.04,8.476563
10.05,7.264063
10.06,6.46875
10.07,5.917188
10.08,5.584375
10.09,5.926563
10.1,6.510938
10.11,6.753125
10.12,6.729688
10.13,6.409375
10.14,6.1
10.15,7.24375
10.16,6.60625
10.17,5.965625
10.18,5.490625
10.19,5.392188
10.2,5.053125
10.21,5.615625
10.22,3.640625
10.23,3.001563
10.24,0.825
10.25,-0.28125
10.26,-0.63125
10.27,-1.165625
10.28,-2.390625
10.29,-3.621875
10.3,-4.064063
10.31,-4.939063
10.32,-4.01875
10.33,-2.040625
10.34,0.146875
10.35,0.3
10.36,1.295313
10.37,1.6375
10.38,0.503125
10.39,-0.9734375
10.4,-0.9703125
10.41,-1.342188
10.42,-1.160938
10.43,0.55
10.44,0.565625
10.45,0.496875
10.46,0.559375
10.47,1.876563
10.48,3.865625
10.49,3.689063
10.5,5.071875
10.51,6.357813
10.52,7.007813
10.53,7.715625
10.54,9.179688
10.55,10.19531
10.56,11.33438
10.57,11.51563
10.58,10.80938
10.59,10.84531
10.6,13.04531
10.61,14.35938
10.62,14.55313
10.63,15.3
10.64,16.07188
10.65,16.66563
10.66,16.26094
10.67,14.04531
10.68,15.45781
10.69,16.05313
10.7,16.32344
10.71,18.68125
10.72,20.09844
10.73,17.5375
10.74,17.64375
10.75,15.42344
10.76,16.88281
10.77,15.26406
10.78,13.98594
10.79,12.97344
10.8,15.18438
10.81,13.34531
10.82,13.14063
10.83,13.08281
10.84,13.95781
10.85,12.40781
10.86,12.81094
10.87,11.9875
10.88,10.88281
10.89,11.34688
10.9,10.84844
10.91,12.24063
10.92,11.99531
10.93,12.76719
10.94,10.55313
10.95,12.00156
10.96,10.92813
10.97,10.90469
10.98,10.13438
10.99,10.18594
11.0,9.896875
11.01,9.742188
11.02,10.79063
11.03,9.704688
11.04,9.954688
11.05,9.573438
11.06,10.16094
11.07,8.5875
11.08,8.251563
11.09,8.4125
11.1,8.690625
11.11,9.104688
11.12,8.403125
11.13,8.154687
11.14,9.301563
11.15,10.10156
11.16,8.192188
11.17,7.660938
11.18,8.485938
11.19,7.35
11.2,6.664063
11.21,7.314063
11.22,8.3375
11.23,7.821875
11.24,8.478125
11.25,7.570313
11.26,7.45625
11.27,7.501563
11.28,6.876563
11.29,6.001563
11.3,5.946875
11.31,6.328125
11.32,7.492188
11.33,6.517188
11.34,6.601563
11.35,7.153125
11.36,6.426563
11.37,5.992188
11.38,6.046875
11.39,5.096875
11.4,5.185938
11.41,6.129688
11.42,4.725
11.43,2.667188
11.44,1.892188
11.45,1.145313
11.46,0.665625
11.47,-0.4578125
11.48,-1.884375
11.49,-2.196875
11.5,-3.770313
11.51,-3.920313
11.52,-5.120313
11.53,-5.179688
11.54,-5.125
11.55,-2.467188
11.56,-1.125
11.57,0.84375
11.58,1.089063
11.59,1.803125
11.6,0.534375
11.61,-1.223438
11.62,-0.7171875
11.63,-0.6609375
11.64,0.396875
11.65,0.8203125
11.66,0.4984375
11.67,1.475
11.68,2.0875
11.69,4.09375
11.7,4.596875
11.71,6.598438
11.72,6.657813
11.73,6.45625
11.74,7.00625
11.75,9.10625
11.76,9.790625
11.77,10.15781
11.78,11.00156
11.79,11.48125
11.8,11.16094
11.81,11.30156
11.82,13.94531
11.83,14.2875
11.84,13.66875
11.85,15.41719
11.86,15.81875
11.87,17.2875
11.88,15.01406
11.89,16.59219
11.9,13.95625
11.91,16.91563
11.92,16.74375
11.93,15.90156
11.94,16.73906
11.95,15.31875
11.96,15.72656
11.97,15.7125
11.98,14.59688
11.99,15.1375
12.0,14.05469
12.01,12.79844
12.02,12.89063
12.03,13.82813
12.04,12.67031
